"Valute","ID","NumCode","CharCode","Nominal","Name","Value"
"AUD","R01010","036","AUD","1","Австралийский доллар","56.9065"
"AZN","R01020A","944","AZN","1","Азербайджанский манат","43.4819"
"GBP","R01035","826","GBP","1","Фунт стерлингов Соединенного королевства","100.8477"
"AMD","R01060","051","AMD","100","Армянских драмов","14.1457"
"BYN","R01090B","933","BYN","1","Белорусский рубль","28.5234"
"BGN","R01100","975","BGN","1","Болгарский лев","46.4218"
"BRL","R01115","986","BRL","1","Бразильский реал","14.2233"
"HUF","R01135","348","HUF","100","Венгерских форинтов","24.8752"
"HKD","R01200","344","HKD","10","Гонконгских долларов","95.3013"
"DKK","R01215","208","DKK","1","Датская крона","12.2032"
"USD","R01235","840","USD","1","Доллар США","73.8757"
"EUR","R01239","978","EUR","1","Евро","90.7932"
"INR","R01270","356","INR","10","Индийских рупий","10.1108"
"KZT","R01335","398","KZT","100","Казахстанских тенге","17.5252"
"CAD","R01350","124","CAD","1","Канадский доллар","57.9599"
"KGS","R01370","417","KGS","100","Киргизских сомов","89.3546"
"CNY","R01375","156","CNY","1","Китайский юань","11.2956"
"MDL","R01500","498","MDL","10","Молдавских леев","42.951"
"NOK","R01535","578","NOK","10","Норвежских крон","86.4478"
"PLN","R01565","985","PLN","1","Польский злотый","19.8393"
"RON","R01585F","946","RON","1","Румынский лей","18.6414"
"XDR","R01589","960","XDR","1","СДР (специальные права заимствования)","106.401"
"SGD","R01625","702","SGD","1","Сингапурский доллар","55.8945"
"TJS","R01670","972","TJS","10","Таджикских сомони","65.218"
"TRY","R01700J","949","TRY","10","Турецких лир","99.9739"
"TMT","R01710A","934","TMT","1","Новый туркменский манат","21.1375"
"UZS","R01717","860","UZS","10000","Узбекских сумов","70.5128"
"UAH","R01720","980","UAH","10","Украинских гривен","26.0711"
"CZK","R01760","203","CZK","10","Чешских крон","34.6054"
"SEK","R01770","752","SEK","10","Шведских крон","90.1869"
"CHF","R01775","756","CHF","1","Швейцарский франк","83.7973"
"ZAR","R01810","710","ZAR","10","Южноафриканских рэндов","50.4719"
"KRW","R01815","410","KRW","1000","Вон Республики Корея","67.9164"
"JPY","R01820","392","JPY","100","Японских иен","71.6058"
